ID,z_phot,z_best,MUV,z_spec,log_Mstar,log_Mhalo,t_cosmic_Gyr,t_stellar_Gyr,age_excess_Gyr,age_ratio,source
276199,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
276276,21.61,21.61,,,,,0.15933953456988792,,,,JADES-GOODS-S
276319,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
276421,21.99,21.99,-17.093045559094307,,6.484596640569796,9.883596640569795,0.15538448657787338,0.016984232300609338,-0.13840025427726405,0.10930455590943065,JADES-GOODS-S
276474,19.0,19.0,,,,,0.1917031989600207,,,,JADES-GOODS-S
277042,8.03,8.03,-17.62561447905625,,7.295966877551718,9.298966877551718,0.6341295116431204,0.1030850115723925,-0.5310445000707279,0.16256144790562493,JADES-GOODS-S
277229,18.91,18.91,,,,,0.19301063269671348,,,,JADES-GOODS-S
277303,19.85,19.85,-13.651253313719497,,4.935345324016762,8.120345324016762,0.1800466770284967,0.01800466770284967,-0.16204200932564702,0.1,JADES-GOODS-S
277330,10.28,10.28,-16.46559127603958,,6.6549558561188,8.8829558561188,0.4539340327932461,0.04539340327932462,-0.4085406295139215,0.1,JADES-GOODS-S
277628,20.11,20.11,-16.023115946830757,,6.05158007474461,9.26258007474461,0.1767144283532589,0.01767144283532589,-0.159042985517933,0.1,JADES-GOODS-S
277774,19.46,19.46,,,,,0.18524457250992485,,,,JADES-GOODS-S
279400,8.03,8.03,-18.665098456938487,,7.789721767045782,9.792721767045782,0.6341295116431204,0.16900175829792366,-0.46512775334519674,0.2665098456938487,JADES-GOODS-S
279971,9.17,9.17,-17.30129127990416,,7.096313357954475,9.213313357954476,0.5304093589364558,0.06902170735635652,-0.4613876515800993,0.13012912799041593,JADES-GOODS-S
280143,10.7,10.7,-18.475790290429543,,7.593000387954033,9.863000387954033,0.42965749758298527,0.10637418607262099,-0.32328331151036427,0.2475790290429543,JADES-GOODS-S
282298,8.27,8.27,-16.95671832369301,,6.96864120375418,8.995641203754179,0.6096323889799649,0.060963238897996486,-0.5486691500819684,0.1,JADES-GOODS-S
283024,8.5,8.5,-18.728886373646116,,7.801221027481905,9.851221027481905,0.5875971598572068,0.160348588272749,-0.42724857158445784,0.27288863736461155,JADES-GOODS-S
283570,18.81,18.81,-20.294888938604352,,8.132672245837067,11.213672245837067,0.19448078971166577,0.08352733925036723,-0.11095345046129854,0.42948889386043515,JADES-GOODS-S
284343,9.21,9.21,-18.307960412365052,,7.5728811958734,9.6938811958734,0.5272898286396347,0.12169640503430286,-0.40559342360533185,0.23079604123650516,JADES-GOODS-S
284476,9.18,9.18,-19.178801873857825,,7.987730890082468,10.105730890082468,0.5296266051317874,0.1683578044837884,-0.361268800647999,0.3178801873857825,JADES-GOODS-S
284497,18.22,18.22,-16.674306415471968,,6.436495547349185,9.458495547349186,0.20354645369676805,0.020354645369676808,-0.18319180832709125,0.10000000000000002,JADES-GOODS-S
284527,11.21,11.21,-20.736138735008463,,8.64626589912902,10.96726589912902,0.4029569847583246,0.1908460184056116,-0.21211096635271298,0.4736138735008463,JADES-GOODS-S
284537,8.19,8.19,-18.720973625884664,,7.809862472295217,9.828862472295217,0.6176207420067007,0.1680529749799549,-0.44956776702674583,0.2720973625884664,JADES-GOODS-S
284546,8.6,8.6,-18.8165823773014,,7.838876629218166,9.898876629218167,0.5784263057786463,0.16291853394236866,-0.41550777183627763,0.2816582377301401,JADES-GOODS-S
284572,8.8,8.8,-18.448897970767543,,7.656226536114583,9.736226536114582,0.5607827797244148,0.13732998113085018,-0.42345279859356466,0.24488979707675435,JADES-GOODS-S
286135,8.74,8.74,-18.371036423383305,,7.6216423011070695,9.69564230110707,0.5659808922539318,0.13419613104730543,-0.43178476120662634,0.23710364233833053,JADES-GOODS-S
289174,16.0,16.0,-14.786982682877701,,5.628816774366908,8.428816774366908,0.24488261787881582,0.024488261787881584,-0.22039435609093425,0.1,JADES-GOODS-S
289206,18.91,18.91,,,,,0.19301063269671348,,,,JADES-GOODS-S
289869,19.59,19.59,-17.32142187464799,,6.689075390457795,9.848075390457794,0.18348455265830826,0.024246050154268922,-0.15923850250403934,0.13214218746479883,JADES-GOODS-S
289886,19.19,19.19,,,,,0.18899085773670538,,,,JADES-GOODS-S
289992,18.59,18.59,-15.981531358764876,,6.092627395413316,9.151627395413316,0.19778138505178933,0.019778138505178934,-0.1780032465466104,0.1,JADES-GOODS-S
290262,18.91,18.91,-15.12496145512322,,5.67295669118353,8.76395669118353,0.19301063269671348,0.019301063269671348,-0.17370956942704213,0.1,JADES-GOODS-S
290287,20.56,20.56,-17.262851593940564,,6.622454507121768,9.878454507121768,0.17118363804482556,0.02161795301614525,-0.1495656850286803,0.12628515939405638,JADES-GOODS-S
290327,9.86,9.86,-18.056289884540423,,7.427337695156702,9.613337695156702,0.48057931142710847,0.09882103768069647,-0.381758273746412,0.20562898845404226,JADES-GOODS-S
290351,21.99,21.99,-15.137604886649914,,5.555762321158709,8.954762321158709,0.15538448657787338,0.015538448657787338,-0.13984603792008604,0.1,JADES-GOODS-S
290414,13.13,13.13,,,,,0.32347895723587056,,,,JADES-GOODS-S
290468,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
290470,18.89,18.89,-18.267486045360123,,7.1664558715460585,10.255455871546058,0.19330318489944667,0.04383122742831629,-0.14947195747113037,0.22674860453601228,JADES-GOODS-S
290637,10.39,10.39,-16.656216633936392,,6.7411029011197865,8.980102901119785,0.44735933914839654,0.044735933914839654,-0.4026234052335569,0.1,JADES-GOODS-S
290902,10.73,10.73,-17.18395607097935,,6.978179133715192,9.251179133715192,0.42800630418090346,0.05067406622524143,-0.377332237955662,0.11839560709793484,JADES-GOODS-S
291002,21.8,21.8,-16.27090128536164,,6.1016781105467786,9.481678110546778,0.15734138921840124,0.015734138921840123,-0.14160725029656113,0.09999999999999999,JADES-GOODS-S
291043,19.02,19.02,,,,,0.1914146542698721,,,,JADES-GOODS-S
291245,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
291253,19.0,19.0,-16.706305048862514,,6.420494898209695,9.520494898209694,0.1917031989600207,0.01917031989600207,-0.17253287906401862,0.1,JADES-GOODS-S
291269,19.0,19.0,-18.13024750913817,,7.09686756684063,10.19686756684063,0.1917031989600207,0.04083752620784028,-0.1508656727521804,0.21302475091381684,JADES-GOODS-S
291271,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
291278,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
291347,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
291493,19.94,19.94,,,,,0.17888148600521234,,,,JADES-GOODS-S
291542,18.27,18.27,,,,,0.20275118667382072,,,,JADES-GOODS-S
291544,13.14,13.14,,,,,0.32313477852423683,,,,JADES-GOODS-S
291591,19.91,19.91,,,,,0.1792684887553968,,,,JADES-GOODS-S
291654,9.97,9.97,-17.831565578527645,,7.316193649800631,9.51319364980063,0.47335402138937177,0.08669789320344118,-0.3866561281859306,0.18315655785276447,JADES-GOODS-S
291673,8.52,8.52,-17.583084899533816,,7.256165327278564,9.308165327278564,0.5857437324357447,0.0927282057815603,-0.49301552665418447,0.15830848995338154,JADES-GOODS-S
291682,19.07,19.07,-17.00615958460527,,6.560125802687504,9.667125802687504,0.19069643869770053,0.019187104954578284,-0.17150933374312224,0.10061595846052708,JADES-GOODS-S
291800,11.99,11.99,-15.880504433001164,,6.308639605675553,8.707639605675553,0.3671213643154159,0.036712136431541594,-0.33040922788387433,0.1,JADES-GOODS-S
292026,21.99,21.99,-17.1970623303036,,6.534004606894209,9.933004606894208,0.15538448657787338,0.01860049155959373,-0.13678399501827965,0.11970623303035982,JADES-GOODS-S
292027,21.99,21.99,,,,,0.15538448657787338,,,,JADES-GOODS-S
